location;season;date ;UTC_time;depth_cm;depth
wadden sea;winter;19/02/2019;11:30:00;-22;-0.22
wadden sea;winter;19/02/2019;11:40:00;-29;-0.29
wadden sea;winter;19/02/2019;11:50:00;-35;-0.35
wadden sea;winter;19/02/2019;12:00:00;-42;-0.42
wadden sea;winter;19/02/2019;12:10:00;-49;-0.49
wadden sea;winter;19/02/2019;12:20:00;-55;-0.55
wadden sea;winter;19/02/2019;12:30:00;-62;-0.62
wadden sea;winter;19/02/2019;12:40:00;-68;-0.68
wadden sea;winter;19/02/2019;12:50:00;-74;-0.74
wadden sea;winter;19/02/2019;13:00:00;-80;-0.8
wadden sea;winter;19/02/2019;13:10:00;-86;-0.86
wadden sea;winter;19/02/2019;13:20:00;-92;-0.92
wadden sea;winter;19/02/2019;13:30:00;-98;-0.98
wadden sea;winter;19/02/2019;13:40:00;-103;-1.03
wadden sea;winter;19/02/2019;13:50:00;-108;-1.08
wadden sea;winter;19/02/2019;14:00:00;-111;-1.11
wadden sea;winter;19/02/2019;14:10:00;-114;-1.14
wadden sea;winter;19/02/2019;14:20:00;-114;-1.14
wadden sea;winter;19/02/2019;14:30:00;-111;-1.11
wadden sea;winter;19/02/2019;14:40:00;-107;-1.07
wadden sea;winter;19/02/2019;14:50:00;-99;-0.99
wadden sea;winter;19/02/2019;15:00:00;-90;-0.9
wadden sea;winter;19/02/2019;15:10:00;-79;-0.79
wadden sea;winter;19/02/2019;15:20:00;-67;-0.67
wadden sea;winter;19/02/2019;15:30:00;-54;-0.54
wadden sea;winter;19/02/2019;15:40:00;-42;-0.42
wadden sea;winter;19/02/2019;15:50:00;-30;-0.3
wadden sea;winter;19/02/2019;16:00:00;-20;-0.2
wadden sea;winter;19/02/2019;16:10:00;-11;-0.11
wadden sea;winter;19/02/2019;16:20:00;-3;-0.03
wadden sea;winter;19/02/2019;16:30:00;3;0.03
wadden sea;winter;19/02/2019;16:40:00;9;0.09
wadden sea;winter;19/02/2019;16:50:00;14;0.14
wadden sea;winter;19/02/2019;17:00:00;20;0.2
wadden sea;winter;19/02/2019;17:10:00;25;0.25
wadden sea;winter;19/02/2019;17:20:00;31;0.31
wadden sea;winter;19/02/2019;17:30:00;37;0.37
wadden sea;winter;19/02/2019;17:40:00;43;0.43
wadden sea;winter;19/02/2019;17:50:00;49;0.49
wadden sea;winter;19/02/2019;18:00:00;54;0.54
wadden sea;winter;19/02/2019;18:10:00;60;0.6
wadden sea;winter;19/02/2019;18:20:00;65;0.65
wadden sea;winter;19/02/2019;18:30:00;69;0.69
wadden sea;winter;19/02/2019;18:40:00;74;0.74
wadden sea;winter;19/02/2019;18:50:00;78;0.78
wadden sea;winter;19/02/2019;19:00:00;83;0.83
wadden sea;winter;19/02/2019;19:10:00;87;0.87
wadden sea;winter;19/02/2019;19:20:00;91;0.91
wadden sea;winter;19/02/2019;19:30:00;95;0.95
wadden sea;winter;19/02/2019;19:40:00;99;0.99
wadden sea;winter;19/02/2019;19:50:00;102;1.02
wadden sea;winter;19/02/2019;20:00:00;105;1.05
wadden sea;winter;19/02/2019;20:10:00;107;1.07
wadden sea;winter;19/02/2019;20:20:00;107;1.07
wadden sea;winter;19/02/2019;20:30:00;107;1.07
wadden sea;winter;19/02/2019;20:40:00;105;1.05
wadden sea;winter;19/02/2019;20:50:00;103;1.03
wadden sea;winter;19/02/2019;21:00:00;99;0.99
wadden sea;winter;19/02/2019;21:10:00;95;0.95
wadden sea;winter;19/02/2019;21:20:00;89;0.89
wadden sea;winter;19/02/2019;21:30:00;83;0.83
wadden sea;winter;19/02/2019;21:40:00;76;0.76
wadden sea;winter;19/02/2019;21:50:00;69;0.69
wadden sea;winter;19/02/2019;22:00:00;61;0.61
wadden sea;winter;19/02/2019;22:10:00;54;0.54
wadden sea;winter;19/02/2019;22:20:00;46;0.46
wadden sea;winter;19/02/2019;22:30:00;38;0.38
wadden sea;winter;19/02/2019;22:40:00;31;0.31
wadden sea;winter;19/02/2019;22:50:00;23;0.23
wadden sea;winter;19/02/2019;23:00:00;17;0.17
wadden sea;winter;19/02/2019;23:10:00;10;0.1
wadden sea;winter;19/02/2019;23:20:00;4;0.04
wadden sea;winter;19/02/2019;23:30:00;-3;-0.03
wadden sea;winter;19/02/2019;23:40:00;-9;-0.09
wadden sea;winter;19/02/2019;23:50:00;-16;-0.16
wadden sea;winter;20/02/2019;00:00:00;-23;-0.23
wadden sea;winter;20/02/2019;00:10:00;-29;-0.29
wadden sea;winter;20/02/2019;00:20:00;-37;-0.37
wadden sea;winter;20/02/2019;00:30:00;-44;-0.44
wadden sea;winter;20/02/2019;00:40:00;-50;-0.5
wadden sea;winter;20/02/2019;00:50:00;-57;-0.57
wadden sea;winter;20/02/2019;01:00:00;-64;-0.64
wadden sea;winter;20/02/2019;01:10:00;-71;-0.71
wadden sea;winter;20/02/2019;01:20:00;-77;-0.77
wadden sea;winter;20/02/2019;01:30:00;-84;-0.84
wadden sea;winter;20/02/2019;01:40:00;-92;-0.92
wadden sea;winter;20/02/2019;01:50:00;-99;-0.99
wadden sea;winter;20/02/2019;02:00:00;-106;-1.06
wadden sea;winter;20/02/2019;02:10:00;-114;-1.14
wadden sea;winter;20/02/2019;02:20:00;-120;-1.2
wadden sea;winter;20/02/2019;02:30:00;-125;-1.25
wadden sea;winter;20/02/2019;02:40:00;-129;-1.29
wadden sea;winter;20/02/2019;02:50:00;-130;-1.3
wadden sea;winter;20/02/2019;03:00:00;-128;-1.28
wadden sea;winter;20/02/2019;03:10:00;-124;-1.24
wadden sea;winter;20/02/2019;03:20:00;-116;-1.16
wadden sea;winter;20/02/2019;03:30:00;-107;-1.07
wadden sea;winter;20/02/2019;03:40:00;-96;-0.96
wadden sea;winter;20/02/2019;03:50:00;-83;-0.83
wadden sea;winter;20/02/2019;04:00:00;-71;-0.71
wadden sea;winter;20/02/2019;04:10:00;-59;-0.59
wadden sea;winter;20/02/2019;04:20:00;-48;-0.48
wadden sea;winter;20/02/2019;04:30:00;-38;-0.38
wadden sea;winter;20/02/2019;04:40:00;-30;-0.3
wadden sea;winter;20/02/2019;04:50:00;-23;-0.23
wadden sea;winter;20/02/2019;05:00:00;-16;-0.16
wadden sea;winter;20/02/2019;05:10:00;-11;-0.11
wadden sea;winter;20/02/2019;05:20:00;-5;-0.05
wadden sea;winter;20/02/2019;05:30:00;0;0
wadden sea;winter;20/02/2019;05:40:00;6;0.06
wadden sea;winter;20/02/2019;05:50:00;11;0.11
wadden sea;winter;20/02/2019;06:00:00;17;0.17
wadden sea;winter;20/02/2019;06:10:00;23;0.23
wadden sea;winter;20/02/2019;06:20:00;28;0.28
wadden sea;winter;20/02/2019;06:30:00;33;0.33
wadden sea;winter;20/02/2019;06:40:00;38;0.38
wadden sea;winter;20/02/2019;06:50:00;43;0.43
wadden sea;winter;20/02/2019;07:00:00;48;0.48
wadden sea;winter;20/02/2019;07:10:00;52;0.52
wadden sea;winter;20/02/2019;07:20:00;56;0.56
wadden sea;winter;20/02/2019;07:30:00;61;0.61
wadden sea;winter;20/02/2019;07:40:00;65;0.65
wadden sea;winter;20/02/2019;07:50:00;70;0.7
wadden sea;winter;20/02/2019;08:00:00;74;0.74
wadden sea;winter;20/02/2019;08:10:00;78;0.78
wadden sea;winter;20/02/2019;08:20:00;81;0.81
wadden sea;winter;20/02/2019;08:30:00;84;0.84
wadden sea;winter;20/02/2019;08:40:00;86;0.86
wadden sea;winter;20/02/2019;08:50:00;87;0.87
wadden sea;winter;20/02/2019;09:00:00;87;0.87
wadden sea;winter;20/02/2019;09:10:00;86;0.86
wadden sea;winter;20/02/2019;09:20:00;84;0.84
wadden sea;winter;20/02/2019;09:30:00;81;0.81
wadden sea;winter;20/02/2019;09:40:00;77;0.77
wadden sea;winter;20/02/2019;09:50:00;72;0.72
wadden sea;winter;20/02/2019;10:00:00;67;0.67
wadden sea;winter;20/02/2019;10:10:00;61;0.61
wadden sea;winter;20/02/2019;10:20:00;54;0.54
wadden sea;winter;20/02/2019;10:30:00;47;0.47
wadden sea;winter;20/02/2019;10:40:00;40;0.4
wadden sea;winter;20/02/2019;10:50:00;33;0.33
wadden sea;winter;20/02/2019;11:00:00;27;0.27
wadden sea;winter;20/02/2019;11:10:00;20;0.2
wadden sea;winter;20/02/2019;11:20:00;13;0.13
wadden sea;winter;20/02/2019;11:30:00;7;0.07
wadden sea;winter;20/02/2019;11:40:00;1;0.01
wadden sea;winter;20/02/2019;11:50:00;-5;-0.05
wadden sea;winter;20/02/2019;12:00:00;-11;-0.11
wadden sea;winter;20/02/2019;12:10:00;-17;-0.17
wadden sea;winter;20/02/2019;12:20:00;-24;-0.24
wadden sea;winter;20/02/2019;12:30:00;-30;-0.3
wadden sea;winter;20/02/2019;12:40:00;-37;-0.37
wadden sea;winter;20/02/2019;12:50:00;-43;-0.43
wadden sea;winter;20/02/2019;13:00:00;-50;-0.5
wadden sea;winter;20/02/2019;13:10:00;-56;-0.56
wadden sea;winter;20/02/2019;13:20:00;-62;-0.62
wadden sea;winter;20/02/2019;13:30:00;-69;-0.69
wadden sea;winter;20/02/2019;13:40:00;-75;-0.75
wadden sea;winter;20/02/2019;13:50:00;-81;-0.81
wadden sea;winter;20/02/2019;14:00:00;-88;-0.88
wadden sea;winter;20/02/2019;14:10:00;-95;-0.95
wadden sea;winter;20/02/2019;14:20:00;-102;-1.02
wadden sea;winter;20/02/2019;14:30:00;-109;-1.09
wadden sea;winter;20/02/2019;14:40:00;-115;-1.15
wadden sea;winter;20/02/2019;14:50:00;-120;-1.2
wadden sea;winter;20/02/2019;15:00:00;-122;-1.22
wadden sea;winter;20/02/2019;15:10:00;-122;-1.22
wadden sea;winter;20/02/2019;15:20:00;-119;-1.19
wadden sea;winter;20/02/2019;15:30:00;-113;-1.13
wadden sea;winter;20/02/2019;15:40:00;-105;-1.05
wadden sea;winter;20/02/2019;15:50:00;-94;-0.94
wadden sea;winter;20/02/2019;16:00:00;-81;-0.81
wadden sea;winter;20/02/2019;16:10:00;-68;-0.68
wadden sea;winter;20/02/2019;16:20:00;-54;-0.54
wadden sea;winter;20/02/2019;16:30:00;-41;-0.41
wadden sea;winter;20/02/2019;16:40:00;-29;-0.29
wadden sea;winter;20/02/2019;16:50:00;-19;-0.19
wadden sea;winter;20/02/2019;17:00:00;-10;-0.1
wadden sea;winter;20/02/2019;17:10:00;-3;-0.03
wadden sea;winter;20/02/2019;17:20:00;4;0.04
wadden sea;winter;20/02/2019;17:30:00;10;0.1
wadden sea;winter;20/02/2019;17:40:00;15;0.15
wadden sea;winter;20/02/2019;17:50:00;21;0.21
wadden sea;winter;20/02/2019;18:00:00;27;0.27
wadden sea;winter;20/02/2019;18:10:00;33;0.33
wadden sea;winter;20/02/2019;18:20:00;39;0.39
wadden sea;winter;20/02/2019;18:30:00;45;0.45
wadden sea;winter;20/02/2019;18:40:00;51;0.51
wadden sea;winter;20/02/2019;18:50:00;57;0.57
wadden sea;winter;20/02/2019;19:00:00;62;0.62
wadden sea;winter;20/02/2019;19:10:00;68;0.68
wadden sea;winter;20/02/2019;19:20:00;72;0.72
wadden sea;winter;20/02/2019;19:30:00;77;0.77
wadden sea;winter;20/02/2019;19:40:00;81;0.81
wadden sea;winter;20/02/2019;19:50:00;86;0.86
wadden sea;winter;20/02/2019;20:00:00;91;0.91
wadden sea;winter;20/02/2019;20:10:00;95;0.95
wadden sea;winter;20/02/2019;20:20:00;100;1
wadden sea;winter;20/02/2019;20:30:00;104;1.04
wadden sea;winter;20/02/2019;20:40:00;107;1.07
wadden sea;winter;20/02/2019;20:50:00;110;1.1
wadden sea;winter;20/02/2019;21:00:00;112;1.12
wadden sea;winter;20/02/2019;21:10:00;113;1.13
wadden sea;winter;20/02/2019;21:20:00;112;1.12
wadden sea;winter;20/02/2019;21:30:00;111;1.11
wadden sea;winter;20/02/2019;21:40:00;108;1.08
wadden sea;winter;20/02/2019;21:50:00;105;1.05
wadden sea;winter;20/02/2019;22:00:00;100;1
wadden sea;winter;20/02/2019;22:10:00;94;0.94
wadden sea;winter;20/02/2019;22:20:00;88;0.88
wadden sea;winter;20/02/2019;22:30:00;81;0.81
wadden sea;winter;20/02/2019;22:40:00;73;0.73
wadden sea;winter;20/02/2019;22:50:00;65;0.65
wadden sea;winter;20/02/2019;23:00:00;57;0.57
wadden sea;winter;20/02/2019;23:10:00;49;0.49
wadden sea;winter;20/02/2019;23:20:00;41;0.41
wadden sea;winter;20/02/2019;23:30:00;34;0.34
wadden sea;winter;20/02/2019;23:40:00;26;0.26
wadden sea;winter;20/02/2019;23:50:00;19;0.19
wadden sea;winter;21/02/2019;00:00:00;12;0.12
wadden sea;winter;21/02/2019;00:10:00;6;0.06
wadden sea;winter;21/02/2019;00:20:00;-1;-0.01
wadden sea;winter;21/02/2019;00:30:00;-8;-0.08
wadden sea;winter;21/02/2019;00:40:00;-14;-0.14
wadden sea;winter;21/02/2019;00:50:00;-21;-0.21
wadden sea;winter;21/02/2019;01:00:00;-28;-0.28
wadden sea;winter;21/02/2019;01:10:00;-35;-0.35
wadden sea;winter;21/02/2019;01:20:00;-42;-0.42
wadden sea;winter;21/02/2019;01:30:00;-49;-0.49
wadden sea;winter;21/02/2019;01:40:00;-55;-0.55
wadden sea;winter;21/02/2019;01:50:00;-62;-0.62
wadden sea;winter;21/02/2019;02:00:00;-68;-0.68
wadden sea;winter;21/02/2019;02:10:00;-76;-0.76
wadden sea;winter;21/02/2019;02:20:00;-84;-0.84
wadden sea;winter;21/02/2019;02:30:00;-92;-0.92
wadden sea;winter;21/02/2019;02:40:00;-101;-1.01
wadden sea;winter;21/02/2019;02:50:00;-110;-1.1
wadden sea;winter;21/02/2019;03:00:00;-118;-1.18
wadden sea;winter;21/02/2019;03:10:00;-126;-1.26
wadden sea;winter;21/02/2019;03:20:00;-132;-1.32
wadden sea;winter;21/02/2019;03:30:00;-135;-1.35
wadden sea;winter;21/02/2019;03:40:00;-135;-1.35
